Name,Employer,From,Experience,Keys
Аналитик данных,Важная рыба,80000.0,От 1 года до 3 лет,"['Веб-дизайн', 'Дизайн', 'Web-дизайн', 'Немецкий язык', 'Управление временем']"
Директор IT,Важная рыба,,От 3 до 6 лет,"['Управление проектами', 'ERP', '1С: Управление предприятием', 'Системное мышление', 'Планирование карьеры']"
Gameplay Programmer,Wargaming St. Petersburg (Lesta Studio),,От 1 года до 3 лет,"['C++', 'Python']"
Специалист первой линии технической поддержки,Москомсвязь,47850.0,От 3 до 6 лет,"['Работа с жалобами клиентов', 'Грамотная речь', 'Сопровождение клиентов', 'Пользователь ПК', 'Работа в команде']"
Системный администратор,WebMasters Russia,,От 1 года до 3 лет,"['Системы видеонаблюдения', 'Администрирование сетевого оборудования', 'Администрирование серверов Windows', 'Администрирование серверов Linux', 'Linux']"
Системный администратор,FINNTRAIL (ООО Финэкип),,От 3 до 6 лет,[]
MySQL/PHP Application Developer (junior),Cbonds.ru,120000.0,От 1 года до 3 лет,"['Redis', 'MySQL', 'MongoDB', 'PostgreSQL', 'PHP']"
Разработчик C# (Backend),Human Capital,104400.0,От 1 года до 3 лет,[]
Аналитик,Банда умников,50000.0,От 1 года до 3 лет,"['Power Bi', '1С: Комплексная автоматизация', 'Экономический анализ', 'Корпоративные финансы', 'Big Data', 'SQL', 'Экономическое моделирование', 'Анализ финансовых показателей', 'Финансовый анализ', 'Бюджетирование', 'Оптимизация бизнес-процессов', 'Финансовое планирование']"
Менеджер проектов,Графит,,От 1 года до 3 лет,"['Adobe Photoshop', 'Английский язык', 'Деловая коммуникация', 'Деловая переписка', 'Грамотная речь']"
Пресейл инженер,NBCom Group,100000.0,От 1 года до 3 лет,"['Английский язык', 'Dell Servers', 'HPE', 'Lenovo', 'Cisco', 'Системы хранения данных', 'схд', 'сервера', 'presale']"
Java-программист,Юнион Смарт Технолоджи,87000.0,От 1 года до 3 лет,"['Java', 'Spring Framework', 'SQL', 'PostgreSQL', 'ООП', 'Unit Testing']"
Системный аналитик,220 Вольт,150000.0,От 1 года до 3 лет,"['SQL', 'REST', 'UML', 'BPMN', 'Kanban', 'Системный анализ', 'E-Commerce', 'Разработка технических заданий', 'YouTrack', 'Confluence']"
Support engineer (Thailand project),Weigandt-consulting,,Нет опыта,"['Linux', 'Bash', 'SQL', 'Oracle Pl/SQL']"
Junior разработчик (PL/SQL),Weigandt-consulting,60000.0,Нет опыта,"['SQL', 'Linux', 'Oracle Pl/SQL', 'Английский язык']"
Сервисный инженер,OVISION,,От 1 года до 3 лет,"['Системы видеонаблюдения', 'Работа в команде', 'Настройка сетевых подключений', 'Монтаж оборудования', 'Настройка ПО', 'Техническое обслуживание']"
Системный администратор,Beget,,От 1 года до 3 лет,"['Linux', 'Ansible', 'MySQL', 'Nginx', 'Администрирование серверов Linux']"
Технический писатель,Attek,100000.0,От 1 года до 3 лет,"['Разработка инструкций', 'Техническая документация', 'Эксплуатационные документы', 'Знание английского языка', 'Высшее образование', 'Работа в графических редакторах', 'Разработка технической документации', 'Умение организовывать работу, планировать']"
