Name,Employer,From,Experience,Keys
Инженер-программист,АК Ригель,,От 3 до 6 лет,"['Qt', 'C++', 'Linux', 'Английский язык', 'Windows 7']"
Системный аналитик 1С,ОКЕЙ – Федеральная розничная сеть,,От 1 года до 3 лет,"['1С: Документооборот', 'Разработка технических заданий', '1С: Предприятие 8', '1C: Бухгалтерия']"
Оператор фрезерного станка с ЧПУ,Парма,55000.0,От 1 года до 3 лет,"['Пользователь ПК', 'Работа в команде', 'Грамотная речь', 'Ведение документации', 'Работа с людьми']"
Middle Angular / Frontend - разработчик,СимбирСофт,,От 1 года до 3 лет,"['AngularJS', 'JavaScript', 'CSS3', 'Less', 'Git']"
Инженер,НИИ Вектор,45000.0,От 1 года до 3 лет,"['Продвинутый пользователь ПК', 'Высшее образование', 'Altium Designer', 'MATLAB']"
Старший программист 1С,ЗАВОД ГОРЭЛТЕХ,,От 3 до 6 лет,"['1С программирование', 'Обновление конфигурации 1С']"
Специалист первой линии технической поддержки,Сэтл Строй,44000.0,От 1 года до 3 лет,"['MS Outlook', 'Навыки межличностного общения', 'Расстановка приоритетов', 'Деловая переписка', 'Администрирование', 'Техническая поддержка', 'Пользователь ПК']"
Токарь,Автогидроподъемник,60900.0,От 1 года до 3 лет,[]
Токарь,"Знамя Труда, Завод малых серий",,От 3 до 6 лет,[]
Наладчик станков с программным управлением (токарной группы ),"Знамя Труда, Завод малых серий",,От 1 года до 3 лет,[]
Наладчик станков на обрабатывающий вертикальный центр FW560CNC (стойка Siemens),"Знамя Труда, Завод малых серий",,От 1 года до 3 лет,[]
Наладчик станков и манипуляторов с программным управлением (токарно-фрезерный станок MAZAK 250),"Знамя Труда, Завод малых серий",,От 1 года до 3 лет,[]
Фрезеровщик,"Знамя Труда, Завод малых серий",40455.0,От 1 года до 3 лет,[]
Ассистент / контент-менеджер в ателье по пошиву обуви,Буркацкий Олег Сергеевич,30000.0,Нет опыта,"['Организаторские навыки', 'Ведение переговоров', 'Ориентация на результат', 'Социальные сети', 'Наполнение контентом', 'Копирайтинг', 'Написание текстов', 'MS Word', 'Пользователь ПК', 'Умение работать в команде', 'Управление персоналом', 'Работа в команде', 'Грамотная речь', 'Ведение групп в социальных сетях', 'Поиск информации в интернет']"
Мастер по ремонту стиральных машин,Фаустов Михаил Валерьевич,85000.0,Нет опыта,"['Гарантийное обслуживание', 'Умение общаться с людьми', 'Ремонт бытовой техники', 'Навыки работы с возражениями', 'Материальная ответственность', 'Навыки продаж', 'Желание работать и зарабатывать', 'Обучаемость', 'Адекватность', 'Отчетность', 'Работа с людьми', 'Грамотная речь', 'Работа в команде']"
Python Backend Developer,Playrix,,От 3 до 6 лет,"['Python', 'SQL', 'REST API', 'Flask']"
Data Engineer,Playrix,,От 1 года до 3 лет,"['Python', 'SQL']"
Senior Data Engineer,Playrix,,От 3 до 6 лет,"['Python', 'SQL']"
"Специалист в Call-сenter(удалённо, работа из дома)",Ozon,27840.0,Нет опыта,[]
"Специалист в Call-сenter(удалённо, работа из дома)",Ozon,27840.0,Нет опыта,[]
Системный администратор,Военный комиссариат города Санкт-Петербург Московского района,10440.0,Нет опыта,"['Пользователь ПК', 'Работа в команде', 'Работа с людьми', 'Работа в условиях многозадачности', 'Опрятный внешний вид']"
Руководитель проектных продаж (освещение/переосвещение),BSG engineering company,70000.0,От 1 года до 3 лет,"['Ведение переговоров', 'Заключение договоров', 'CRM', 'Сопровождение клиентов', 'Контроль отгрузок', 'Деловая коммуникация', 'Навыки переговоров', 'Поиск и привлечение клиентов', 'Проектная документация', 'Контроль исполнения решений', 'Управление отношениями с клиентами', 'Управление проектами', 'Бюджетирование', 'контроль сроков', 'MS Office', 'MS Outlook']"
Руководитель проектных продаж (электрощитовое оборудование),BSG engineering company,60000.0,От 1 года до 3 лет,"['Ведение переговоров', 'Заключение договоров', 'CRM', 'Сопровождение клиентов', 'Контроль отгрузок', 'Деловая коммуникация', 'Навыки переговоров', 'Поиск и привлечение клиентов', 'Проектная документация', 'Контроль исполнения решений', 'Управление отношениями с клиентами', 'Управление проектами', 'Бюджетирование', 'контроль сроков', 'MS Office', 'MS Outlook']"
Руководитель проектных продаж (слаботочные системы),BSG engineering company,60000.0,От 1 года до 3 лет,"['Ведение переговоров', 'Заключение договоров', 'CRM', 'Сопровождение клиентов', 'Контроль отгрузок', 'Деловая коммуникация', 'Навыки переговоров', 'Поиск и привлечение клиентов', 'Проектная документация', 'Контроль исполнения решений', 'Управление отношениями с клиентами', 'Управление проектами', 'Бюджетирование', 'контроль сроков', 'MS Office', 'MS Outlook']"
Senior Front-End Developer,"Flow Health, Inc",,От 3 до 6 лет,"['JavaScript', 'Redux', 'TypeScript', 'React', 'Webpack', 'ES6+']"
Менеджер по продуктовому маркетингу,Билайн,,От 3 до 6 лет,"['Проведение презентаций', 'Клиентоориентированность', 'Деловая этика', 'MS PowerPoint', 'Обучение и развитие', 'Запуск новых продуктов']"
Наладчик станков с ЧПУ,Knorr-Bremse 1520,,От 1 года до 3 лет,['Станки ЧПУ']
Дизайнер пользовательских интерфейсов (UI / UX),Сэтл Строй,120000.0,От 3 до 6 лет,[]
Программист/Front-end разработчик,ЭйСиЭс,43500.0,Нет опыта,"['Angular', 'TypeScript', 'Английский язык', 'JS', 'HTML', 'CSS', 'Front-end']"
Главный специалист в Управление экспертизы решений ИБ [id88402],Газпром нефть,,От 3 до 6 лет,"['ФСТЭК', 'ФЗ 152', 'Информационная безопасность', 'Аудит', 'ФСТЭК 21', 'ФСТЭК 31', 'ФЗ 187']"
Инженер по слаботочным системам СВН СОТ СОС АПС АСПТ ВПВ,Технические системы безопасности,60000.0,От 1 года до 3 лет,"['Настройка ПО', 'Настройка ПК', 'Электрические системы и слаботочные системы', 'Автоматизированное рабочее место (АРМ)', 'Техническое обслуживание', 'Пожарная сигнализация', 'Умение организовать работу', 'видеонаблюдение', 'БОЛИД']"
React native разработчик,Сложные облачные системы,90000.0,От 1 года до 3 лет,"['JavaScript', 'React Native']"
Специалист отдела методологии (Системный аналитик),"Восток, Энергосбытовая компания",65000.0,От 1 года до 3 лет,"['Бизнес-анализ', 'Ведение переговоров', 'MS Visio', 'Оптимизация бизнес-процессов', 'Разработка технических заданий', 'Работа с большим объемом информации', 'MS Excel', 'MS PowerPoint', 'Аналитическое мышление']"
Маркетолог-аналитик,МетПластСтройКомплект,40000.0,Нет опыта,"['SWOT анализ', 'Креативность', 'Аналитическое мышление', 'Маркетинговый анализ', 'Стратегическое мышление']"
Ведущий web-программист,Сэтл Строй,155000.0,От 3 до 6 лет,[]
SAS программист,"БИОКАД, биотехнологическая компания",,От 1 года до 3 лет,[]
Менеджер по поддержке обработки технических заявок,Yota,,От 1 года до 3 лет,"['SAP BI', 'SQL', 'MS PowerPoint', 'SAP Business Objects', 'MS Outlook']"
Руководитель по экспертному обслуживанию и информационному обеспечению,Yota,,От 3 до 6 лет,"['Оптимизация бизнес-процессов', 'Работа в команде', 'Управление командой', 'Ориентация на результат', 'Управление проектами']"
Java-разработчик,Рюмшина Анастасия Андреевна,245000.0,От 3 до 6 лет,"['Английский язык', 'PostgreSQL', 'Java', 'Spring Framework', 'Git', 'Java Core', 'Selenium', 'JavaScript']"
Middle Frontend developer (JS React),Credit.Club,,От 3 до 6 лет,"['JavaScript', 'ES6', 'React', 'Redux', 'JSON', 'REST API', 'Git', 'CSS', 'Sass', 'Webpack']"
"Backend Developer (keywords: Laravel, php, back-end)",Obalor,120000.0,От 3 до 6 лет,"['MySQL', 'Git', 'PHP5', 'Linux', 'Laravel']"
Fullstack Senior разработчик JS + React,Баренбойн Даниэль,217500.0,От 3 до 6 лет,"['ReactJS', 'Typescript', 'PostgreSQL', 'Express', 'NextJS']"
Fullstack Senior разработчик PHP,Баренбойн Даниэль,217500.0,Нет опыта,"['Drupal', 'PHP', 'Удаленная работа', 'Backend', 'jQuery', 'CSS/SASS']"
Региональный руководитель по строительству и модернизации объектов сотовой связи,Ericsson,80000.0,От 3 до 6 лет,"['Деловая переписка', 'Организаторские навыки', 'Руководство коллективом', 'Охрана труда и техника безопасности', 'Управление командой', 'Управление производственным персоналом', 'Производственный контроль', 'Гибкость', 'Расстановка приоритетов', 'Управление проектами', 'Работа в команде', 'Управление персоналом', 'Пользователь ПК', 'MS Excel', 'Делопроизводство', 'Деловое общение', 'Ведение переговоров']"
PHP-разработчик,Узнать Штрафы.ру,,От 3 до 6 лет,"['Git', 'PHP', 'MySQL', 'Linux', 'ООП', 'Laravel', 'Symfony', 'Yii2', 'RabbitMQ']"
Инженер-программист АСУ ТП,Хэнди-Автомейшн,85000.0,От 1 года до 3 лет,"['Английский язык', 'TIA Portal', 'Simatic WinCC flexible', 'Техническая документация', 'Step 7', 'SoMachine']"
Руководитель интернет-проектов Битрикс,СБЕРКОРУС,,Нет опыта,"['1С-Битрикс', 'Управление проектами', 'Проведение презентаций', 'Проведение семинаров', '1С: Документооборот']"
Бизнес-аналитик Битрикс (Битрикс: управление сайтом),СБЕРКОРУС,,От 1 года до 3 лет,"['1С-Битрикс', 'Управление проектами', 'Проведение презентаций', 'Проведение семинаров', '1С: Документооборот']"
Специалист по тестированию 1С,СБЕРКОРУС,,От 1 года до 3 лет,"['Atlassian Jira', 'Atlassian Confluence', 'SQL', 'Функциональное тестирование', 'Тестирование пользовательского интерфейса']"
"Senior Backend Developer (nodejs, restjs)",Фин Дизайн,298668.0,От 3 до 6 лет,"['MySQL', 'Git', 'PostgreSQL', 'Английский язык', 'Golang', 'Node.js', 'nestjs', 'Typescript']"
Программист Java (embedded-системы),Юпитер,,От 3 до 6 лет,"['Git', 'Java', 'Spring Framework', 'Linux', 'Коммуникабельность', 'Английский язык', 'Самостоятельность']"
Senior Technical Writer / Support Analyst,VisualSVN,150000.0,От 3 до 6 лет,"['Английский язык', 'Написание текстов', 'Написание статей', 'Техническая документация', 'Системный анализ']"
Старший консультант SAP,Крит,,От 1 года до 3 лет,[]
JS Developer,SPB TV,174000.0,От 1 года до 3 лет,"['JavaScript', 'Git', 'ReactJS', 'TypeScript', 'React']"
Senior JS Developer,SPB TV,217500.0,От 3 до 6 лет,"['JavaScript', 'Git', 'ReactJS', 'TypeScript', 'HTML']"
Senior QA Automation engineer,KMS Lighthouse,,От 3 до 6 лет,"['Java', 'SQL', 'Linux', 'MS SQL', 'Data Analysis', 'Selenium IDE', 'Английский язык']"
QA Automation Lead,KMS Lighthouse,,От 3 до 6 лет,"['Java', 'SQL', 'Linux', 'MS SQL', 'Data Analysis', 'Selenium IDE', 'Английский язык']"
Токарь (ученик токаря),ГиТ,45000.0,Нет опыта,['Навыки работы на токарном станке']
Middle/Senior Node.js Developer,ZeroHub,,От 3 до 6 лет,"['Node.js', 'TypeScript', 'PostgreSQL', 'Nest.js', 'gRPC', 'Vault', 'Английский язык']"
PHP Developer,Поггиплэй,74667.0,От 1 года до 3 лет,"['Git', 'MySQL', 'PHP', 'API', 'Codeigniter']"
Middle/Senior QA Engineer,ZeroHub,,От 1 года до 3 лет,"['PostgreSQL', 'SQL', 'Atlassian Jira', 'Git', 'Node.js', 'QA', 'Тестирование', 'Регресcионное тестирование', 'Функциональное тестирование', 'Интеграционное тестирование', 'Ручное тестирование', 'API', 'Postman', 'SOAP', 'UI', 'Check-list', 'Test case']"
Менеджер по сопровождению клиентов (первичная недвижимость),Киселёва Анастасия Сергеевна,150000.0,От 1 года до 3 лет,"['Жилая недвижимость', 'Заключение договоров', 'Сопровождение сделок', 'Умение работать в команде', 'Деловое общение']"
Разработчик баз данных PostgreSQL/Oracle,HitHunt,,От 3 до 6 лет,"['PostgreSQL', 'Oracle Pl/SQL']"
Product-менеджер / менеджер по развитию,IPG.Estate,,От 1 года до 3 лет,"['Product Management', 'Анализ рынка', 'Работа в команде', 'Запуск новых продуктов', 'Оценка потребностей клиентов', 'Навыки переговоров', 'Привлечение клиентов', 'Управление проектами']"
Smm-менеджер/контент-менеджер,Автомат-Сервис,50000.0,От 1 года до 3 лет,"['Видеосъемка', 'Графический дизайн', 'Видеомонтаж', 'Копирайтинг', 'Графические редакторы', 'Креативность', 'SMM', 'Наполнение контентом', 'Дизайн', 'Фотомонтаж']"
Web-программист / инженер-программист,B.A.S.E. ( Business Application Support Engineering ),78300.0,От 1 года до 3 лет,"['ASP.NET', 'MS SQL', 'С#', 'Java Script', 'Vue.js']"
Бизнес-аналитик по автоматизации процессов капитального строительства,IBS,,От 3 до 6 лет,"['MS Visio', 'ARIS', 'Моделирование бизнес процессов', 'Управление проектами', 'Бизнес-анализ']"
Личный помощник генерального директора,Спэйс Фо,43500.0,От 1 года до 3 лет,"['Исполнение личных поручений руководителя', 'Административная поддержка руководителя', 'исполнение поручений руководителя']"
Маркетолог/Интернет-маркетолог/специалист отдела рекламы и Pr,Автомат-Сервис,50000.0,От 1 года до 3 лет,"['Social Media Marketing', 'SMM', 'Интернет-реклама', 'Социальные сети', 'Internet Marketing', 'Таргетинг', 'Наполнение контентом', 'Интернет маркетинг', 'B2B Marketing', 'Веб-аналитика', 'Serm', 'ORM', 'Web-дизайн', 'Брендинг', 'Cоциальный маркетинг', 'Разработка маркетинговой стратегии', 'Анализ PR стратегии конкурентов', 'Расстановка приоритетов', 'План продвижения', 'SEO-копирайтинг', 'Планирование рекламных кампаний', 'Развитие бренда', 'Ведение групп в социальных сетях', 'Медиапланирование', 'Email маркетинг', 'Аудит SMM', 'SEO оптимизация', 'Управление интернет-проектами', 'Запуск новых продуктов', 'Маркетинговый анализ']"
Data Analyst,Novakid Inc,220000.0,От 1 года до 3 лет,"['SQL', 'Python', 'Tableau', 'Английский язык', 'PostgreSQL']"
BigData Developer,Luxoft,,От 1 года до 3 лет,[]
PL/SQL Developer,Luxoft,,От 1 года до 3 лет,"['SQL', 'Английский язык', 'Oracle Pl/SQL']"
Backend developer (PHP),Wisebits,293209.0,От 3 до 6 лет,"['MongoDB', 'MySQL', 'Git', 'Redis', 'CSS', 'PHP', 'ClickHouse', 'Phalcon']"
Business Analyst,Unlimint,,От 3 до 6 лет,"['Market Research', 'Business Analysis', 'Английский язык', 'Analytical skills', 'Data Analysis']"
Программист 1C 8,Брандт,80000.0,От 1 года до 3 лет,"['1С: Управление Производственным Предприятием', '1С: Предприятие 8', '1С программирование', '1С: Бухгалтерия', '1С: Зарплата и управление персоналом']"
Программист,Брандт,70000.0,От 1 года до 3 лет,['PHP']
Product-менеджер /Senior (сфера образования),АНО Дополнительного Профессионального Образования «Национальный Исследовательский Институт Дополнительного Образования и Профессионального обучения»,,От 1 года до 3 лет,"['CRM', 'Управление продуктом', 'Product Management', 'Разработка нового продукта', 'Аналитическое мышление']"
Системный аналитик,АНО Дополнительного Профессионального Образования «Национальный Исследовательский Институт Дополнительного Образования и Профессионального обучения»,,От 1 года до 3 лет,"['BPMN', 'Бизнес-анализ', 'UML', 'Atlassian Jira', 'Redmine']"
3D Animator (Middle),Геоскан,,От 1 года до 3 лет,"['3D Моделирование', '3D-графика', 'Houdini', 'Blender 3D']"
UI/UX дизайнер junior (удаленно),Requires Media,60900.0,Нет опыта,"['Креативность', 'Adobe Photoshop', 'Adobe Illustrator', 'Инфографика', 'Удаленная работа']"
Аниматор 3D / Animator 3D,Gaijin Games,,От 3 до 6 лет,"['Autodesk Maya', 'Adobe Photoshop', 'Autodesk 3ds Max', '3ds Max', 'Motionbuilder']"
Junior+ / Middle Frontend developer (React),Foach,,От 1 года до 3 лет,"['HTML5', 'Sass', 'CSS3', 'Less', 'jQuery', 'JavaScript', 'Ajax', 'React']"
Проджект менеджер (middle Project manager)/Руководитель проектов,Lion Target,30450.0,От 1 года до 3 лет,"['Деловое общение', 'Телефонные переговоры', 'Интернет-реклама', 'SMM', 'Многозадачность', 'Устойчивость к стрессам', 'Грамотная устная и письменная речь', 'Удаленная работа', 'Организаторские навыки', 'Умение работать в команде', 'Управление проектами', 'Таргетинг']"
Инженер по качеству/QA,МТС,,От 1 года до 3 лет,"['postman', 'Тестирование пользовательского интерфейса', 'Регресcионное тестирование', 'testrail', 'Мобильное тестирование', 'swagger', 'JSON API']"
Frontend-разработчик,Virtuozzy Systems,50000.0,От 1 года до 3 лет,"['Git', 'JavaScript', 'Redux', 'React', 'CSS']"
Machine Learning Developer,ТРИДИВИ,,Нет опыта,"['Python', 'OpenCV', 'Computer Vision', 'Английский язык', 'Deep Learning', 'Математическая статистика', 'Machine Learning', 'C/C++', 'Линейная алгебра']"
Ведущий инженер КСОБ (проектирование),СвязьСтройСервис,,От 3 до 6 лет,"['КСОБ', 'ОПС, СКУД, СОУЭ, СВН, РАСЦО, РВ, ТВ', 'специализация по системам безопасности', 'Комплексные системы обеспечения безопасности']"
Junior+ / Middle Backend developer,Foach,,От 1 года до 3 лет,"['PHP', 'jQuery', 'Laravel', 'Yii', 'JavaScript']"
Менеджер продуктовой аналитики,Yota,,От 1 года до 3 лет,"['Подготовка отчетов', 'Аналитика', 'Продуктовая аналитика']"
Senior DevOps Engineer,Представительство компании Altium Europe GMBH,,Более 6 лет,"['Terraform', 'AWS', 'Kubernetes', 'Puppet', 'CI/CD', 'Zabbix', 'Chef', 'Jenkins', 'Ansible']"
Technical Solution Architect,Softline,,От 1 года до 3 лет,[]
Devops Engineer,Novakid Inc,200000.0,От 1 года до 3 лет,"['Linux', 'Python', 'Английский язык', 'Bash', 'Ansible']"
Backend Developer / Программист-разработчик PHP VAPE ZONE,Алексеев Павел Борисович,,От 1 года до 3 лет,['PHP']
Senior System Engineer,Представительство компании Altium Europe GMBH,,От 3 до 6 лет,"['Kubernetes', 'Ansible', 'Jenkins', 'Linux', 'AWS', 'Puppet', 'Zabbix', 'CI/CD', 'Chef', 'Gitlab', 'English', 'Terraform']"
Producer (GameDev),Playgendary,,От 3 до 6 лет,[]
Старший бизнес-аналитик СЭД,Syntellect (ООО СИНТЕЛЛЕКТ),100000.0,От 1 года до 3 лет,[]
Senior UX Designer (Yellow Team),Semrush,150000.0,От 3 до 6 лет,"['Английский язык', 'Работа в команде', 'UX']"
Big Data Engineer (Yellow Team),Semrush,200000.0,От 3 до 6 лет,"['Linux', 'Golang', 'Python', 'Английский язык', 'Bash', 'Big Data', 'HDFS', 'Debian', 'C#', 'Highload']"
Digital Marketing Campaign Manager,Semrush,200000.0,Более 6 лет,[]
Senior UX Designer (Ninja Team),Semrush,150000.0,От 3 до 6 лет,"['UX', 'Английский язык', 'Грамотная речь', 'UI']"
Senior UX-проектировщик,Semrush,150000.0,От 1 года до 3 лет,"['UX', 'Проектирование пользовательских интерфейсов', 'Прототипирование', 'Google Analytics', 'Customer Journey Map', 'Анализ поведения пользователей', 'User flow map', 'Use Case Analysis']"
Арт-директор,ВСЕХОРОШО,,От 1 года до 3 лет,[]
Бэкенд-разработчик (Python) / Middle Python / Python Developer (Remote),"ЮТэйр, Авиакомпания",150000.0,От 1 года до 3 лет,"['Python', 'Git', 'MongoDB', 'Redis', 'Design Patterns', 'Flask']"
Бизнес-аналитик,Императорский фарфоровый завод,,От 1 года до 3 лет,"['SQL', 'MS SQL', 'CRM', 'Аналитические исследования', 'Прогнозирование', '1С-Битрикс', 'MS Power Builder']"
Ассистент подразделения стажировки / Методист,Devexperts,,От 1 года до 3 лет,[]
Unity C# Developer,Tvori Inc.,174000.0,От 3 до 6 лет,"['Unity', 'VR', 'Английский язык', 'C#', 'Virtual Reality', 'Metaverse']"
Frontend developer ( Vue.js) remotely,Кадровое агентство ЕВА,300000.0,От 1 года до 3 лет,"['JavaScript', 'Git', 'HTML5', 'Node.js', 'TypeScript']"
Senior С++ Gameplay Programmer,G5 Entertainment AB,,От 3 до 6 лет,[]
Ведущий системный администратор (инженер - архитектор),Onecloudspace,100000.0,От 3 до 6 лет,"['Инициативность', 'Компетентность', 'Трудолюбие', 'Честность', 'Доброжелательность', 'Добросовестность']"
Специалист клиентской поддержки (Удаленная работа),"Лента, федеральная розничная сеть",30000.0,Нет опыта,"['Клиентоориентированность', 'Работа в команде', 'Грамотная речь', 'Деловое общение', 'Пользователь ПК']"
Помощник системного администратора,Onecloudspace,40000.0,Нет опыта,"['Настройка ПО', 'Настройка ПК', 'Техническая поддержка', 'Windows 7', 'Работа с оргтехникой']"
Senior C++ Engine Programmer,G5 Entertainment AB,,От 3 до 6 лет,[]
Middle C++ Gameplay Programmer,G5 Entertainment AB,,От 1 года до 3 лет,[]
Администратор 1С,Onecloudspace,90000.0,Нет опыта,"['Windows 7', 'MS SQL Server', '1С: Предприятие 8', '1С: Зарплата и управление персоналом', '1С: Управление Торговлей']"
Middle C++ Engine Programmer,G5 Entertainment AB,,От 1 года до 3 лет,[]
"Менеджер продукта / Специалист по закупкам оборудования LTE, Private LTE",ЛЕО ТЕЛЕКОМ,,От 3 до 6 лет,"['Управление проектами', 'Анализ рынка', 'Знание LTE и P-LTE, GSM', 'Знание принципов построения и функционирования систем связи/ радиосвязи', 'Управление процессом получения сертификатов', 'Подготовка презентаций', 'Private LTE']"
PHP/JS разработчик (Full Stack),Литмаркет,70000.0,От 3 до 6 лет,"['PHP', 'JavaScript', 'MySQL', 'HTML5', 'CSS3', 'Git', 'Linux', 'Nginx', 'ООП', 'MVC', 'Laravel']"
Junior C++ Gameplay Programmer,G5 Entertainment AB,,Нет опыта,[]
IT Project manager,8base,80000.0,Нет опыта,"['Английский язык', 'Подготовка презентаций', 'Деловая коммуникация', 'JavaScript', 'Atlassian Jira', 'Atlassian Confluence', 'Гибкость', 'People Management']"
Менеджер по работе с B2B партнерами,Приложение «Кошелёк»,,От 1 года до 3 лет,"['Ведение переговоров', 'Заключение договоров', 'Поиск и привлечение клиентов', 'B2B', 'Сопровождение клиентов', 'B2B Продажи']"
Data engineer,Группа компаний eLama,,От 1 года до 3 лет,"['Python', 'SQL', 'Linux', 'Airflow']"
Infrastructure Engineer,Betby,,От 3 до 6 лет,"['Linux', 'Python', 'Shell Scripting', 'Kubernetes', 'Bash', 'Debian', 'Zabbix', 'PostgreSQL']"
Специалист 1С (на поддержку),33 Решения,50000.0,От 1 года до 3 лет,"['1С: Управление Торговлей', '1С: Комплексная автоматизация', 'Работа в команде', 'Консультирование', '1С: Предприятие 8', '1С:Управление Нашей Фирмой']"
Scala Developer,Betby,,От 3 до 6 лет,"['SCALA', 'MongoDB', 'Python', 'Kafka', 'SQL', 'kafka-streams', 'FS2', 'Cats', 'Akka']"
Unity developer / Game developer,Kosmos,,От 3 до 6 лет,"['Unity', 'C#', 'Git', 'Upsource', 'Jenkins', 'Rider']"
Разработчик PL/SQL,"Лента, федеральная розничная сеть",,От 1 года до 3 лет,"['SQL', 'MS SQL', 'Работа с базами данных', 'MS Access', 'MS Visio']"
Системный инженер,Мирайт,87000.0,От 3 до 6 лет,"['Администрирование сетевого оборудования', 'Настройка сетевых подключений', 'VPN', 'Windows Server 2019', 'Администрирование серверов Windows', 'Настройка VPS/VDS серверов', 'Hyper-V', 'Helpdesk', 'TCP/IP', 'VoIP', 'Zabbix', 'Настройка ПО', 'MS Exchange', 'VMware', 'Резервное копирование', 'IP телефония', 'Немецкий язык', 'Настройка DNS', 'DHCP']"
"PHP-разработчик (Laravel) Junior, удаленная работа",Балтийский Телекоммуникационный Холдинг,65000.0,От 1 года до 3 лет,"['MySQL', 'PostgreSQL', 'Git', 'PHP5', 'Jetbrains Phpstorm', 'Linux', 'ООП', 'PHP']"
Game Designer,AIPeople,,От 1 года до 3 лет,"['Unity', 'Креативность', 'Разработка концепции']"
Инженер-программист,Резонанс,43500.0,От 1 года до 3 лет,['Схемотехника электронного оборудования']
Менеджер продукта РРЛ и ШПД,ЛЕО ТЕЛЕКОМ,,От 3 до 6 лет,"['Ведение переговоров', 'Анализ рынка', 'Проведение презентаций', 'B2B Продажи', 'Анализ конкурентной среды', 'Знание принципов построения и функционирования систем связи,систем радиосвязи', 'Знание продуктов производителей NEC, Ceragon, Микран, Infinet, Intracom', 'Навыки работы в приложениях MS Office,DRRL, Radioplanner', 'Разработка технического решения', 'Участие в Тендерах', 'Получение сертификатов', 'Знание рынка Радиорелейного оборудования и оборудования Широкополосной передачи данных']"
"JS developer (ReactJS, Angular, NodeJS)",Рюмшина Анастасия Андреевна,224001.0,От 3 до 6 лет,"['Git', 'Java', 'AngularJS', 'Angular', 'Node.js', 'ReactJS', 'PostgreSQL']"
Data Analitics / Дата Аналитик,Mobiblis,37333.0,От 1 года до 3 лет,"['Python', 'Базы данных', 'MS SQL', 'Анализ бизнес показателей', 'Аналитическое мышление', 'Работа с большим объемом информации', 'Data Analysis']"
С# Junior Developer,Itransition,,От 1 года до 3 лет,"['JavaScript', 'Английский язык', 'Git', 'HTML', 'CSS']"
Senior Product Manager / CPO,StudyWorld,250000.0,От 3 до 6 лет,"['Работа в команде', 'Управление проектами', 'Проведение презентаций']"
Head of Sales / Руководитель отдела продаж,StudyWorld,120000.0,От 3 до 6 лет,"['Английский язык', 'Работа в команде', 'Управление продажами', 'Управление персоналом', 'Грамотная речь']"
Middle+ PHP Developer,StudyWorld,,От 3 до 6 лет,"['Git', 'PHP', 'Английский язык', 'PostgreSQL', 'ООП']"
Middle/Senior PHP Developer,StudyWorld,140000.0,От 3 до 6 лет,"['PostgreSQL', 'ООП', 'PHP']"
Junior full stack web-разработчик,Lasmart,,Нет опыта,"['.NET Framework', 'Базы данных', 'ASP.NET', 'MVC', 'JavaScript', 'TypeScript']"
Оператор технологического оборудования,ESTEL,50000.0,Нет опыта,[]
Программист по NX,"Силовые машины, Управляющая компания",,Нет опыта,[]
Ассистент руководителя,Делегатор 24,17400.0,От 1 года до 3 лет,['Административная поддержка руководителя']
"Программист С со знанием Assembler, ОС Linux",Кликнет,70000.0,От 1 года до 3 лет,"['C/C++', 'Linux', 'kernel']"
SEO-специалист,Бульдог,50000.0,Нет опыта,"['SEO', 'SEO оптимизация', 'Поисковая оптимизация мобильной версии сайта', 'Составление семантического ядра', 'Аудит поисковой видимости сайта', 'Внутренняя оптимизация сайта', 'HTML/CSS', 'Поисковые системы']"
Product analyst,LuckyGroup,150000.0,От 3 до 6 лет,"['Python', 'SQL', 'Анализ данных', 'Power BI', 'Яндекс.Метрика', 'Google Analytics', 'R', 'Product analyst']"
Business Analyst/Product owner,SimpleTexting,,От 3 до 6 лет,"['Product Owner', 'Agile Project Management', 'Business Analysis', 'Scrum', 'Figma', 'Agile']"
Product Lead,ARRIVAL LTD,,Более 6 лет,"['Английский язык', 'Project management', 'Product Management', 'Team management', 'Analytical skills']"
Музыкальный журналист-копирайтер,Безумов Владислав,15000.0,Нет опыта,"['Грамотность', 'Написание текстов', 'Написание статей', 'Грамотная речь', 'Поиск информации в интернет']"
Аниматор 3D,Red Pill Studio,,От 1 года до 3 лет,"['Autodesk Maya', 'Анимация', 'Adobe Photoshop', '3D-графика']"
QA Engineer/Старший инженер по тестированию СберТех,SberTech,121800.0,От 1 года до 3 лет,[]
SMM / Контентмейкер (ювелирные изделия и арт клуб),Борзенко Борис Борисович,45369.0,От 1 года до 3 лет,"['SMM', 'Social Media Marketing', 'Internet Marketing', 'Ведение групп в социальных сетях', 'Креативность', 'Социальные сети', 'Продвижение бренда', 'Работа с opinion лидерами в социальных сетях', 'Наполнение контентом', 'Копирайтинг', 'Интернет-реклама', 'Работа с блогерами', 'Instagram', 'СММ']"
"Ведущий инженер-программист C/C++ (Qt, Linux)",Аквамарин,,От 3 до 6 лет,"['C/C++', 'Linux', 'Qt', 'qnx']"
"Руководитель отдела разработки ПО / Team Lead (C++, Qt, Linux)",Аквамарин,,От 3 до 6 лет,"['C/C++', 'Linux', 'Qt']"
Ведущий C# разработчик,NGRServices,200000.0,От 3 до 6 лет,"['Git', 'Atlassian Jira', 'C#', 'RabbitMQ']"
